mae,mape,rmse,r2,bias,seed
3.8997863803710935,4.1144892986809225,5.1561435492965035,0.9695557594724057,-2.7728360180664096,30
4.750363633300781,4.53233798100579,5.87989541016994,0.9470022264707878,-1.009725932128907,31
3.339264632812501,3.1400969585765908,4.082835504222499,0.9738007367543114,0.38762312597656234,32
4.495448189453125,4.127055175828773,5.304123954864757,0.9489552824663747,-0.9274242919921878,33
4.384487124511719,4.225420818265748,5.660689393384324,0.9363410903366212,0.20088844677734186,34
3.503717759521483,3.3456663134324014,4.383159211313,0.9776226234190311,0.362287931396483,35
3.716052021240234,3.513951296037093,4.2816207741795225,0.9730249239556858,0.4820134343261708,36
4.562140481689452,5.159672539041781,5.92885558456861,0.9609140463290446,-0.9395125119628909,37
4.41712426538086,4.595761349460187,5.4037865955809705,0.9704531127709904,2.372039452392577,38
4.698111573730468,5.179576020237953,5.956541519987346,0.9576780831148456,-2.4844332719726574,39
3.912635460937498,4.0828180095072355,4.7921054252080735,0.9697985886647708,-0.3745429179687523,40
5.102979846191408,4.679021764975665,6.661255565378627,0.9504403604143523,3.132726165527344,41
4.2505789970703125,4.289132323908284,5.160157226663508,0.9709419720784963,1.0805082753906239,42
5.136408376953122,5.6685483226839,6.622729077501464,0.9425327309515799,-2.241225492187503,43
3.944661785888672,4.244992204158228,5.257728376997327,0.9698438935044144,-1.375724951904298,44
4.733009091064453,5.0640243176067665,6.101079085664271,0.951247750152357,-0.9064069011230467,45
5.155311139648435,4.924735986048935,6.364542472300625,0.9456277803247749,-0.7425978642578142,46
4.145342738769531,3.9352625715671876,5.297173732695322,0.9643761718453352,0.8011234233398438,47
3.7762214545898427,3.321516059752297,4.915282065530495,0.9391923315132039,0.017124884277341153,48
5.311795217773437,5.874009437051442,6.667003609174046,0.9455177588058407,-3.3690774882812526,49
4.969901603515624,5.068583570474176,5.9702726647963145,0.9433021341127485,1.1705081132812498,50
3.3960894768066408,3.6650862768018726,4.105250342999333,0.9822638195998958,0.1709745734863256,51
4.537092157226562,4.581734219288006,5.392080431280733,0.9295999574649336,1.1371751425781218,52
5.333717468749999,6.386830051356992,6.459232575559612,0.9579542307647623,0.05100527246093577,53
4.530180026855465,5.222689816681283,5.877960533036524,0.9655655831702921,0.038160023925778434,54
4.99880754638672,4.839392911798396,6.504845469904749,0.9487034053542596,1.96214894580078,55
4.454873062988282,3.49626436827192,6.344841199614379,0.9532765318522918,1.5476601958007794,56
3.3951458378906243,2.955759668910496,4.2837864340494045,0.9676522586733208,0.2684679765624975,57
3.3335733198242186,3.1408034899676736,4.2389631541215245,0.9665255254869839,-0.20460129833984694,58
5.209425670410158,5.558889312497225,7.3459991186464695,0.9368488343853884,3.4712070297851545,59
3.7096445126953137,4.619126501505642,4.755770314095339,0.9665546569183554,-1.1138248764648453,60
4.3492965546875,3.5862197030136067,5.6339855493863755,0.9665129020616061,1.002070342773435,61
4.0114879267578125,3.574733099342045,4.837471475208176,0.9614927716253722,0.8349416035156219,62
4.657988605957031,4.763094079020339,5.7411611059984065,0.9508811459750925,1.1824529780273436,63
2.4809653222656247,2.4047387896853754,3.4373903804780164,0.9802911880850902,0.6521939638671855,64
4.630566222167971,4.059865669071868,5.6719782685707205,0.9362012771656436,0.7906319282226536,65
4.104069454833983,3.569019719251932,5.351495114597884,0.9585499316664708,2.0333761765136695,66
3.094778862304687,2.95028189839109,3.722073403262372,0.9824129924352164,0.13713883886718803,67
2.7227631342773453,2.6069001138679897,3.2487126099006067,0.9792797124489712,-0.969811032714847,68
5.664766981933594,7.505259681285898,7.758903282555666,0.9495176457537169,-2.336491353027344,69
4.3074579907226545,3.7806286324133844,5.023462442877487,0.9610767206301521,1.7868968012695297,70
4.028938868164062,4.079066508815899,5.133286824901913,0.9669152215408989,0.742074945312497,71
5.876901335449219,4.878433196872605,7.471060612993914,0.9145825608492988,4.288378530761718,72
4.588217953613282,4.642791030739237,6.2525370691461974,0.9597718412506075,0.5994370209960916,73
4.099102496582031,3.9519312468534644,5.153737206530464,0.9549702857241389,-0.7692556049804711,74
4.567093608886718,4.377546648403599,5.627641479501123,0.9601031335498387,1.804124300292967,75
3.306582011230467,3.310814914909316,4.280123141263622,0.9721973505173656,2.204522058105465,76
4.916017892089843,4.403926119309229,6.782109985729657,0.9302505570507867,1.2970855415039033,77
5.175939462890622,4.798767997851673,6.16813111805485,0.9618224015696653,0.8671994990234367,78
4.584465497558593,3.8164018691863055,5.348648886848488,0.9622181288937475,2.4730651274414037,79
5.5579435942382815,5.245592219017894,6.462495841397314,0.9497580143486786,1.8497457514648412,80
4.252293838378907,4.5081192714520615,5.178162227851304,0.9658247297281729,-1.9759298618164092,81
3.220367812499999,2.7309342459508943,4.537162410599496,0.9707460926576214,2.25138322753906,82
4.09727962060547,4.251358235249746,5.330781965119773,0.9720873197658653,1.6276324301757805,83
5.009514260009765,4.385587210123555,6.05983166724558,0.9492670184183267,3.096945737548826,84
5.181678296875,5.013829324901443,6.053541989521626,0.9423467263160304,1.0656889414062487,85
2.9718204274902327,3.0811621346918128,3.640753322829534,0.9821799228521355,0.759137264404296,86
3.8064675654296867,3.7035968937286583,4.887869509844312,0.9507414737426633,0.27967056835937454,87
3.571799532714844,4.012888890680939,4.844439584758172,0.9707833908017858,-1.0448173432617198,88
4.716165648925783,4.1588900586493285,5.517604252284865,0.9515023787118818,-0.35827294775390894,89
3.552202310058596,3.3419105965984035,4.735391827528038,0.9542438930148466,0.22760561865234138,90
4.481852851806639,5.218738954034752,5.727833570396393,0.9612568622314658,-2.0495377277832043,91
5.144811107910155,4.73153320074884,6.334196799487901,0.9472781450189717,1.89289679345703,92
3.6205084370117175,4.172038918351401,4.828236709968496,0.9718495788378705,0.3130404721679665,93
3.504259282226562,3.1481674218375626,4.606162857084465,0.9636353883299325,0.39740601171874856,94
3.7460271342773437,3.241731402854395,5.1091385769025095,0.9610567240188256,1.2181599291992171,95
4.053183688476562,4.20193878010156,5.2801437909911,0.9619843317296289,0.29617564746093594,96
3.724412545410156,3.549570947189937,4.594673160977781,0.9657600307220864,0.9676787534179687,97
5.277580100830078,5.181375874647289,6.279669411268142,0.9558067858568631,1.569777485595703,98
4.4226174340820315,4.535141976773357,5.601474355968186,0.9469215434167275,0.6411483608398413,99
