model,protocol,mae,rmse,r2,mape_pct,n_train,n_test,seed
MLP,R,8.667371189439727,11.490526029908205,0.9299869886885307,9.464514671223201,379,95,39
MLP,R,9.312379045962105,12.548757344651918,0.924261430289789,9.830863535391966,379,95,40
MLP,R,9.178544875724373,13.388678054296898,0.902781115877052,10.100563100314892,379,95,41
MLP,R,9.406198271994853,13.526311404261575,0.9160230332697507,10.079320919808925,379,95,42
MLP,R,9.41763081205415,12.263248306610118,0.9100627168300729,10.808032238931672,379,95,43
MLP,R,10.943301817435962,15.181151311837494,0.8464464198849828,11.361442281476581,379,95,44
MLP,R,10.933671090973831,16.37968467029679,0.819294459048509,10.953536675500091,379,95,45
MLP,R,9.04872056541628,12.524499633754948,0.9083581394330029,9.909425630500968,379,95,46
MLP,R,10.000856062746974,12.906430373914864,0.9115216093411496,11.11658889340137,379,95,47
MLP,R,10.311419196455713,13.841085404541134,0.8635729677787243,10.546844949913476,379,95,48
MLP,R,9.261336156447461,11.97233899432028,0.9216930089942528,11.076288271941465,379,95,49
MLP,R,10.992567213818315,15.043129956787979,0.8835371118933308,11.148924395851768,379,95,50
MLP,R,9.848616365423538,12.167284087234385,0.9055196356782657,11.882604724594948,379,95,51
MLP,R,9.389774374543345,13.708224267277643,0.9091364484186554,10.08538007695852,379,95,52
MLP,R,9.60570809251886,13.712969065049212,0.8948039977926476,10.665531902872587,379,95,53
MLP,R,9.00946521698223,12.416903435257078,0.9069717678616205,9.836636309348288,379,95,54
MLP,R,10.939308083488006,14.49780157394369,0.8807711512298952,11.516993059970856,379,95,55
MLP,R,9.692603832196939,12.778372039119846,0.9113570993200859,9.95517676171743,379,95,56
MLP,R,9.526758993825702,13.069886698872933,0.9117868861124444,9.89924277966156,379,95,57
MLP,R,10.404332625182242,13.584400230925711,0.8836888177423211,11.27879827045703,379,95,58
MLP,R,9.194667551249005,12.186988312300013,0.9323907037378638,9.931852893451158,379,95,59
