seed,mae,rmse,r2,mape_pct,n_train_geom,n_test_geom,n_test_seen_geom_samples,sample_overlap_frac,n_test_geom_seen,geometry_overlap_frac
31,8.699725325444135,12.949098899788991,0.907370003453363,8.859609797588334,35,30,95,1.0,30,1.0
32,7.5244791804752955,11.221560426191651,0.9373059447835872,7.513542173600246,35,29,95,1.0,29,1.0
33,6.568028037364941,10.587551712142938,0.9397727194788884,7.327650941502663,34,31,94,0.9894736842105263,30,0.967741935483871
34,7.536603975761961,11.686160552405399,0.897807015658677,7.56265899995365,35,30,95,1.0,30,1.0
35,10.01314576742967,14.952509226912463,0.8580060845408715,9.313004796408654,34,29,94,0.9894736842105263,28,0.9655172413793104
36,7.99669406384166,11.703458309051815,0.917494839129939,7.774334023635868,34,31,94,0.9894736842105263,30,0.967741935483871
37,8.244439521204097,11.645075540632458,0.9184256432284437,8.215588806170961,35,28,95,1.0,28,1.0
38,7.460501965480466,12.828179869351288,0.891831391491107,7.333499208492896,34,33,94,0.9894736842105263,32,0.9696969696969697
39,7.680033081316544,10.656824693144145,0.939778082609878,7.5336225414347595,35,30,95,1.0,30,1.0
40,9.355442081457046,14.158952590842238,0.9035776056304163,8.927552059405018,35,30,95,1.0,30,1.0
41,7.2846729636906105,12.61438554747356,0.9137006675910739,7.481663546392648,35,30,95,1.0,30,1.0
42,7.084540339474518,11.499085709249867,0.9393084760505971,7.0301586684567,35,29,95,1.0,29,1.0
43,8.0518237421629,11.764079568321604,0.9172353987797514,8.08018447716404,34,29,94,0.9894736842105263,28,0.9655172413793104
44,8.851119202659866,13.380601707688747,0.8807106105824277,8.552097803313348,34,32,94,0.9894736842105263,31,0.96875
45,8.458082001473896,12.675201832097672,0.89178931084609,8.053142356415004,34,30,94,0.9894736842105263,29,0.9666666666666667
46,7.6370051714006495,11.054582448172441,0.9286066410426461,7.647427076761999,33,33,93,0.9789473684210527,31,0.9393939393939394
47,7.80489303768268,11.899052636879842,0.9247944831581342,7.920991007988457,34,29,94,0.9894736842105263,28,0.9655172413793104
48,7.476482269686177,11.6133449111369,0.9039549948623888,7.440002550822128,35,29,95,1.0,29,1.0
49,8.41331670490962,12.66417417319201,0.9123814069102023,8.514321585529121,34,33,94,0.9894736842105263,32,0.9696969696969697
50,8.061447711025323,12.050480031466165,0.9252657232702963,7.762505610989534,35,29,95,1.0,29,1.0
51,9.388286179166021,14.441795328008528,0.8668943059457468,9.198096113801139,34,32,94,0.9894736842105263,31,0.96875
52,8.666858296177336,13.680408199633852,0.9095048261663696,7.935885015316037,34,29,94,0.9894736842105263,28,0.9655172413793104
53,6.518686200103775,9.522485013650805,0.9492732733448411,6.801937682214438,35,29,95,1.0,29,1.0
54,8.269406691462164,13.224193059169224,0.89448200697047,8.453882163022982,34,30,94,0.9894736842105263,29,0.9666666666666667
55,8.690424626306534,13.034171092041525,0.9036295509605727,8.278070119780818,35,32,95,1.0,32,1.0
56,8.588385389321207,12.094121314046209,0.9205961530375162,8.265002293428221,34,32,94,0.9894736842105263,31,0.96875
57,8.845543509906566,13.542303261880893,0.9052946360722915,8.383531874915466,35,32,95,1.0,32,1.0
58,9.647563576626712,14.555208203159378,0.8664704524547958,9.368457540264947,33,31,93,0.9789473684210527,29,0.9354838709677419
59,8.014470810050627,11.433435580974402,0.940493127656365,8.0209478750878,34,30,94,0.9894736842105263,29,0.9666666666666667
60,7.48195338195904,13.129299674631616,0.9013077688621992,7.074565154155656,35,29,95,1.0,29,1.0
61,8.070916204117385,12.428428169370575,0.9043788437389408,8.388405170542947,34,31,94,0.9894736842105263,30,0.967741935483871
62,8.863827064470971,12.852839275412318,0.9000071704477773,8.823352661504739,33,31,93,0.9789473684210527,29,0.9354838709677419
63,8.038462547240874,12.409230378623318,0.9270746406533145,7.590221267993866,34,28,94,0.9894736842105263,27,0.9642857142857143
64,7.761077704848765,11.960683513279152,0.9119599389972484,7.760393415699173,35,29,95,1.0,29,1.0
65,8.7503924307472,12.957924549932759,0.8957310816778741,8.676853256938365,35,32,95,1.0,32,1.0
66,7.4850281680124935,11.996373569518529,0.9271169364082983,7.51544975142581,34,32,94,0.9894736842105263,31,0.96875
67,6.601135855007584,10.099581878651636,0.9350324305642506,6.726127023907624,35,27,95,1.0,27,1.0
68,7.221272425978277,10.665358115738973,0.9262665077899043,8.20169297128301,35,31,95,1.0,31,1.0
69,9.626575588689871,14.056488555822554,0.9292015238347736,8.954841871622314,34,31,94,0.9894736842105263,30,0.967741935483871
70,7.939824030000336,12.498239374233576,0.9168362577026635,7.466705291676462,35,28,95,1.0,28,1.0
71,8.729866902539552,12.767841771423793,0.9053884487127831,8.135177809176634,34,31,94,0.9894736842105263,30,0.967741935483871
72,8.480130190908845,11.91670199528452,0.9180428718721844,8.299106180132961,35,31,95,1.0,31,1.0
73,7.716968200181361,11.216402242079027,0.9362747879795332,7.898836041495532,35,30,95,1.0,30,1.0
74,7.351318196737534,11.096867649175273,0.8941273703247777,7.596240320762629,35,29,95,1.0,29,1.0
75,7.788494489085913,10.69612561789552,0.9114447953277032,8.288705401091098,34,31,94,0.9894736842105263,30,0.967741935483871
76,9.872031621128123,15.748847365425021,0.901746458233441,8.213134254191797,33,32,93,0.9789473684210527,30,0.9375
77,7.762285210076491,11.050316147526683,0.9322898738864143,7.585638845468733,32,33,92,0.968421052631579,30,0.9090909090909091
78,7.982298011288648,11.818496650306527,0.9317700631512695,8.018435009020234,35,29,95,1.0,29,1.0
79,7.38802748546106,11.219085073537487,0.9183739117809828,7.622871321364593,35,31,95,1.0,31,1.0
