mae,rmse,r2,mape_pct,n_train,n_test,seed,n_test_geom,n_train_geom,held_out_geometries
14.161772838285886,18.46140694316239,0.855852882450375,13.398961278782764,379,95,38,9,26,G0002|G0011|G0013|G0020|G0022|G0025|G0026|G0027|G0035
13.285836154431234,18.654483286993493,0.8195306372769277,12.490032464016595,379,95,39,9,26,G0002|G0012|G0013|G0014|G0018|G0020|G0023|G0027|G0029
16.63572344867566,22.221052367830517,0.7706585813744644,13.784807939206752,379,95,40,10,25,G0002|G0012|G0013|G0014|G0018|G0024|G0025|G0027|G0032|G0035
14.377949573934066,20.032711759387713,0.8330810224697818,12.084861852464535,379,95,41,11,24,G0002|G0013|G0017|G0021|G0026|G0028|G0030|G0031|G0033|G0034|G0035
13.168829483019882,18.189220142650015,0.7743241123524927,12.548919125029059,379,95,42,10,25,G0003|G0004|G0010|G0013|G0017|G0023|G0025|G0027|G0032|G0034
13.499410170091386,17.576438082463,0.7910175141507758,13.327133479938128,379,95,43,9,26,G0003|G0004|G0013|G0017|G0018|G0019|G0025|G0026|G0032
9.465266674212895,14.576692338673682,0.8803878660331153,9.550480649847689,379,95,44,7,28,G0003|G0005|G0007|G0010|G0017|G0021|G0032
12.56281363907469,18.27016720535029,0.8198699272416158,12.293542449023308,379,95,45,8,27,G0003|G0006|G0010|G0014|G0020|G0023|G0024|G0033
12.489895883268776,16.39560589499089,0.8461452083717047,11.981720729970338,379,95,46,9,26,G0003|G0011|G0012|G0013|G0014|G0015|G0026|G0031|G0032
12.990633638659766,18.62920413878733,0.7976303487413774,11.424552619858945,379,95,47,10,25,G0003|G0014|G0020|G0023|G0026|G0027|G0028|G0031|G0032|G0034
11.259283129089757,14.178134478590412,0.8884610662656554,11.08525427155134,379,95,48,7,28,G0003|G0015|G0018|G0020|G0023|G0031|G0033
12.615929903710347,17.73749320593481,0.8594130814069179,11.386273348025076,379,95,49,8,27,G0003|G0016|G0017|G0021|G0026|G0032|G0033|G0034
12.73828470763216,18.022144046052652,0.8265646271491695,13.399684537932306,379,95,50,9,26,G0004|G0005|G0006|G0011|G0014|G0017|G0025|G0026|G0035
11.04351516850148,15.872186103628824,0.8846108084873257,10.29965822284025,379,95,51,11,24,G0004|G0005|G0010|G0014|G0015|G0017|G0026|G0030|G0032|G0034|G0035
10.511229843367726,15.84742422925411,0.8590977529593312,10.214842469974819,379,95,52,10,25,G0004|G0005|G0013|G0014|G0017|G0022|G0024|G0027|G0028|G0032
11.31341801316658,15.932648898407729,0.8152932711458852,11.367127170315525,379,95,53,10,25,G0004|G0006|G0012|G0014|G0017|G0018|G0019|G0026|G0028|G0034
11.801166458748403,15.551186319869696,0.8381375015665937,11.734557111862921,379,95,54,10,25,G0004|G0006|G0013|G0014|G0023|G0026|G0030|G0031|G0033|G0034
13.230678880053395,18.880192108861895,0.8087516604065399,11.892757472884039,379,95,55,9,26,G0004|G0006|G0013|G0023|G0024|G0027|G0028|G0034|G0035
15.682128100745812,20.599116831466233,0.7702838497619796,13.509093705167102,379,95,56,9,26,G0004|G0006|G0023|G0024|G0026|G0027|G0030|G0034|G0035
11.78952887872993,16.338056484145206,0.82475307813323,11.583491239129996,379,95,57,8,27,G0004|G0007|G0012|G0014|G0017|G0019|G0026|G0031
10.72865873974679,15.436559741020226,0.8655222167409177,10.688080689121472,379,95,58,8,27,G0004|G0007|G0014|G0015|G0024|G0027|G0031|G0034
