protocol,split_id,n_test,mae_xgb_um,mae_rf_um,delta_mae_um,mape_xgb_pct,mape_rf_pct,winner
R,17,95,8.7936593850670501,9.1037155879478924,-0.31005620288084224,8.7798302482651795,9.5838898627623106,XGB
R,18,95,9.9495155539633924,10.703899267209112,-0.75438371324571918,8.8048441013248304,10.147633922111886,XGB
R,19,95,9.0761774163792452,9.3254770775178688,-0.24929966113862356,8.2459953510090163,8.7579833568609953,XGB
R,20,95,7.8099744607720689,7.9031298837595934,-0.093155422987524439,7.0697732605424193,7.4661772118795948,XGB
R,21,95,7.6964425626938455,8.3177810492529876,-0.62133848655914203,7.5868407597709417,8.4502449387310943,XGB
R,22,95,7.3542526567971196,8.1254738258244181,-0.77122116902729854,7.37035629942035,8.6952085373959012,XGB
R,23,95,9.185627812135543,10.20301662551077,-1.0173888133752271,9.1458193044166194,10.476592009314563,XGB
R,24,95,10.299570168260516,10.934423770383615,-0.63485360212309949,9.6723711606216494,11.05344637178192,XGB
R,25,95,7.1577429566639719,7.0624321890445545,0.095310767619417369,7.6513441443102606,7.5408495486341947,RF
R,26,95,7.623078937746631,8.1817751408838824,-0.55869620313725132,7.6457611800200969,8.4288880521536438,XGB
R,27,95,7.9829348056197658,8.1520622097074593,-0.16912740408769356,8.2465190930491659,8.794836683861881,XGB
R,28,95,9.2876806876262989,9.5929298993486007,-0.30524921172230179,8.3670793518375799,8.9794234648066329,XGB
R,29,95,9.3690295803350754,9.7855113543986345,-0.41648177406355913,9.4750222838557967,10.254420655076192,XGB
R,30,95,8.6109565365131804,8.1385219604762327,0.47243457603694772,8.7548268787452503,8.7460616807688325,RF
R,31,95,8.6997253254441347,9.8340159008467332,-1.1342905754025985,8.8596097975883374,10.324895203926761,XGB
R,32,95,7.5244791804752955,7.288900842472481,0.23557833800281447,7.5135421736002481,7.7041622084105157,RF
R,33,95,6.5680280373649396,6.8519388727525614,-0.28391083538762185,7.3276509415026618,8.0183864514791754,XGB
R,34,95,7.5366039757619614,8.2734219833915539,-0.73681800762959249,7.5626589999536487,8.4565913775447079,XGB
R,35,95,10.013145767429672,10.374110422582598,-0.36096465515292664,9.3130047964086575,10.069788174656763,XGB
R,36,95,7.9966940638416597,8.7241864804475053,-0.72749241660584563,7.774334023635868,8.7801692107418212,XGB
R,37,95,8.2444395212040966,8.7780168353797805,-0.53357731417568388,8.2155888061709632,9.11390513195383,XGB
R,38,95,7.4605019654804661,7.3437943559421788,0.11670760953828729,7.3334992084928956,7.7772540425557093,RF
R,39,95,7.6800330813165409,8.1154545042594446,-0.43542142294290365,7.5336225414347613,8.578307821124266,XGB
R,40,95,9.3554420814570474,9.3532957153800602,0.0021463660769871495,8.9275520594050182,9.3478008536587112,RF
R,41,95,7.2846729636906122,7.8320169257409695,-0.54734396205035729,7.4816635463926451,8.5267722259016523,XGB
R,42,95,7.0845403394745192,7.9153180989595846,-0.83077775948506538,7.0301586684567026,7.8186254323863968,XGB
R,43,95,8.0518237421629006,7.5954688012412301,0.4563549409216705,8.0801844771640408,8.1197489231320077,RF
R,44,95,8.8511192026598664,8.9032659611731315,-0.052146758513265112,8.5520978033133463,8.990795239035732,XGB
R,45,95,8.458082001473894,8.7395799586782967,-0.28149795720440274,8.0531423564150053,8.9245246614636535,XGB
R,46,95,7.6370051714006486,7.9740058263276277,-0.33700065492697906,7.6474270767619981,8.5241173295320856,XGB
R,47,95,7.8048930376826799,8.1350534906348795,-0.33016045295219953,7.9209910079884569,8.7059508605732265,XGB
R,48,95,7.4764822696861755,8.4416466738674991,-0.96516440418132365,7.4400025508221281,8.4884468769699968,XGB
R,49,95,8.4133167049096187,8.1251573158471739,0.28815938906244476,8.514321585529121,8.9409808400040749,RF
R,50,95,8.0614477110253233,9.1884884902689592,-1.1270407792436359,7.7625056109895327,9.0877334653627457,XGB
R,51,95,9.3882861791660179,10.700158037514431,-1.3118718583484128,9.1980961138011388,10.964060176012183,XGB
R,52,95,8.6668582961773382,8.4429751037000482,0.22388319247728994,7.9358850153160372,8.1105686683993614,RF
R,53,95,6.5186862001037742,7.5159741903120452,-0.99728799020827097,6.8019376822144366,8.1947605462620174,XGB
R,54,95,8.269406691462164,7.713318379124023,0.55608831233814104,8.4538821630229837,8.415609735267445,RF
R,55,95,8.6904246263065321,9.4551703237891456,-0.76474569748261345,8.2780701197808195,8.9457890473056043,XGB
R,56,95,8.5883853893212088,7.9545686987702249,0.63381669055098389,8.2650022934282195,7.9991350125400258,RF
R,57,95,8.845543509906566,9.0200210290807927,-0.17447751917422671,8.3835318749154659,8.8129666370541475,XGB
R,58,95,9.6475635766267125,9.3228697922626171,0.32469378436409535,9.3684575402649486,9.4419702031174104,RF
R,59,95,8.0144708100506268,8.5373088157852415,-0.5228380057346147,8.0209478750877956,8.5938076584081493,XGB
R,60,95,7.4819533819590429,8.3207710696723591,-0.83881768771331622,7.0745651541556542,8.6225383252613277,XGB
R,61,95,8.0709162041173848,8.6988725919554675,-0.62795638783808272,8.3884051705429492,9.7410363021687782,XGB
R,62,95,8.8638270644709714,9.9731426533073844,-1.109315588836413,8.8233526615047406,10.063851070495561,XGB
R,63,95,8.0384625472408722,9.0496360185897693,-1.0111734713488971,7.5902212679938676,8.9267863891022987,XGB
R,64,95,7.7610777048487654,8.7884383456447122,-1.0273606407959468,7.7603934156991761,8.7611278165255602,XGB
R,65,95,8.7503924307471994,9.7261445360800387,-0.97575210533283929,8.676853256938367,10.144711676076778,XGB
