protocol,split_id,n_test,mae_xgb_um,mae_rf_um,delta_mae_um,mape_xgb_pct,mape_rf_pct,winner
R,74,25,4.0991024965820309,5.4109412400000281,-1.3118387434179972,3.951931246853464,5.2318032803645131,XGB
R,75,25,4.5670936088867178,4.1980370799999811,0.36905652888673668,4.3775466484035981,3.8189229795646811,RF
R,76,25,3.3065820112304665,4.7729691599999651,-1.4663871487694986,3.3108149149093156,4.6960721750408148,XGB
R,77,25,4.916017892089843,6.5045333599999831,-1.5885154679101401,4.4039261193092294,5.7091366459645982,XGB
R,78,25,5.1759394628906241,7.8455605600000213,-2.6696210971093972,4.7987679978516731,7.4317188643079177,XGB
R,79,25,4.5844654975585932,6.3711898399999605,-1.7867243424413672,3.8164018691863051,5.5778657830013465,XGB
R,80,25,5.5579435942382815,8.0853172799999751,-2.5273736857616935,5.2455922190178947,8.1486568316614907,XGB
R,81,25,4.2522938383789066,6.7312537999999931,-2.4789599616210864,4.5081192714520615,7.0612479758979871,XGB
R,82,25,3.2203678124999984,5.3172848799999626,-2.0969170674999642,2.7309342459508938,4.7338263808919843,XGB
R,83,25,4.0972796206054696,5.2821222399999828,-1.1848426193945132,4.2513582352497465,5.0784173743666381,XGB
R,84,25,5.0095142600097651,6.5304345599999793,-1.5209202999902143,4.3855872101235551,5.4733369383547474,XGB
R,85,25,5.1816782968749999,5.7973692799999892,-0.61569098312498927,5.0138293249014421,5.2599774654013194,XGB
R,86,25,2.9718204274902331,3.8159644799999741,-0.84414405250974101,3.0811621346918132,4.1420476901223191,XGB
R,87,25,3.8064675654296867,5.1630418000000136,-1.3565742345703269,3.7035968937286579,4.5859472304104072,XGB
R,88,25,3.5717995327148442,6.6356954800000301,-3.0638959472851859,4.012888890680939,7.1320068923302635,XGB
R,89,25,4.7161656489257826,5.5488360399999861,-0.83267039107420349,4.1588900586493294,5.0446214219915237,XGB
R,90,25,3.552202310058596,5.5527932799999622,-2.0005909699413662,3.3419105965984039,5.2238867975648509,XGB
R,91,25,4.4818528518066394,5.8423337199999947,-1.3604808681933553,5.2187389540347509,6.3987609549020954,XGB
R,92,25,5.1448111079101553,6.2283055999999624,-1.0834944920898071,4.7315332007488413,6.0793345513798851,XGB
R,93,25,3.6205084370117175,6.103788679999993,-2.4832802429882754,4.1720389183514008,7.0218015270910117,XGB
R,94,25,3.5042592822265619,4.8293381199999734,-1.3250788377734115,3.1481674218375626,4.3162037044394737,XGB
R,95,25,3.7460271342773437,5.5041927999999869,-1.7581656657226432,3.2417314028543958,4.8694243969232938,XGB
R,96,25,4.0531836884765617,6.3456256400000086,-2.2924419515234469,4.2019387801015604,6.553840054099326,XGB
R,97,25,3.7244125454101562,6.0205106799999806,-2.2960981345898244,3.5495709471899373,5.569556903275509,XGB
R,98,25,5.277580100830078,7.1257397200000403,-1.8481596191699623,5.1813758746472889,6.7664989570136092,XGB
R,99,25,4.4226174340820315,5.4394020399999787,-1.0167846059179473,4.5351419767733576,5.6026571545659003,XGB
T,30,25,12.034365041015622,13.704839359999978,-1.6704743189843558,10.211436849752365,11.472303017728922,XGB
T,60,25,12.034233697265627,8.4629121599999841,3.5713215372656428,11.513346010969459,7.7603539796661485,RF
T,90,25,11.713402478515626,12.26464828000004,-0.5512458014844146,12.747814243584651,13.711990538361956,XGB
T,120,25,9.68603802319336,6.2990247999999998,3.3870132231933603,9.6842267070593273,6.2884306964020356,RF
T,150,25,6.8015709995117186,8.090759599999938,-1.2891886004882194,6.1429517630856649,7.2362540567190514,XGB
